Headline,Body ID
Dwyane Wade was in the All-Star team.,135
"The Hangover Part III includes Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, and Ken Jeong, Jeffrey Tambor, Heather Graham, Mike Epps, Melissa McCarthy and John Goodman.",136
Usher has a sophomore album.,137
Davis Guggenheim is a television director.,138
Maggie Gyllenhaal played a role.,139
Silicon Valley is a place.,140
Elle Fanning starred in the sci-fi movie Super 8.,141
Facebook's CEO is Mark Zuckerberg.,142
"Los Angeles, California was incorporated as a municipality on April 4, 1850.",143
Eric Singer has performed with a musician.,144
The United States Naval Academy is a service academy.,145
Lewis Hamilton was the runner-up to teammate Nico Rosberg in 2016.,146
Tim Henman rose up the ATP rankings.,147
Paradigms of Human Memory was written by Chris Mckenna.,148
Kate & Leopold is a film.,149
Akira Toriyama created Dragon Ball.,150
The Twilight Saga stars multiple people.,151
Boardwalk Empire is a drama.,152
Hugh Hefner is an American men's lifestyle magazine publisher.,153
Estella Warren is a synchronized swimmer formerly.,154
George Lucas was the founder of a motion picture visual effects company.,155
Minneapolis lies on both banks of the Mississippi River in Minnesota.,156
The X Factor is a music competition.,157
Seal was born in 1963.,158
Iggy Azalea signed a recording contract with Grand Hustle Records.,159
Glamorous is a song by Fergie.,160
Evan Goldberg is a Canadian film producer.,161
Arjun Kapoor hosted the IIFA Awards in Britain.,162
Drama school offers Master of Fine Arts.,163
Richard Dreyfuss has won a Golden Globe Award.,164
Jimmy Wales is an American.,165
Jim Parsons portrays Sheldon Cooper.,166
"The Olympic Games includes both a summer and winter games, each every 4 years.",167
William Hanna was an artist.,168
"Rolling Stone magazine labeled Led Zeppelin as ""the biggest band of the Seventies.""",169
Serena Williams has won four Olympic gold medals.,170
Gwen Stefani is the co-founder of No Doubt along with others.,171
"Princess Margaret, Countess of Snowdon is part of the royal family of Britain.",172
The United States meets the North Atlantic Ocean.,173
Kristofer Hivju was born in 1978.,174
Jennifer Hudson was in a singing competition.,175
The Punisher is also named Frank Castle.,176
Matthew McConaughey was in the film Texas Chainsaw Massacre: The Next Generation.,177
Gianluigi Buffon won the UEFA Club Footballer of the Year for the second time in June of 2003.,178
"Vince Vaughn appeared in a number of films in the 1990s, including the sports film Rudy.",179
An actor was the winner of a BAFTA Award for Crash.,180
Wonder Woman is a character.,181
A Song of Ice and Fire is by someone who works in the fantasy genre and he is American.,182
Alan Rickman was born in 1946.,183
Ryan O'Neal was born in the 1940s.,184
Outkast is composed of two people.,185
Bruce Willis is a person.,186
The Challenge had originally been called Road Rules: All Stars.,187
The Twilight Saga stars multiple people.,188
Furious 7 was filmed in more than one country.,189
Jeff Bezos founded something.,190
Calling All the Monsters was found through an American record label.,191
Laurence Olivier played in Romeo and Juliet.,192
Bernard Madoff was sentenced in June of 2009.,193
Evolution is a studio album.,194
Remote Control Productions has provided the scores for movies.,195
Dan Martin is Irish.,196
Keith Urban was born in a country.,197
"In the California primaries, Robert F. Kennedy beat Senator Eugene McCarthy.",198
Lisa Kudrow starred in a series.,199
Oz the Great and Powerful premiered at the fully restored movie palace at 6838 Hollywood Boulevard in Hollywood.,200
Event management is the application of project management to the development of large scale events.,201
Beauty Shop stars a human.,202
University of Oxford is made up of a variety of colleges.,203
More than 2000 runs have been scored by Alex Rodriguez.,204
Naruto: Shippuden is a sequel to Naruto.,205
The Xbox One uses an input device called the Kinect.,206
Thirteen is based on Nikki Reed's difficult life at age 12 and 13.,207
Robert Redford was a guest star on the anthology horror series Twilight Zone.,208
Macaulay Culkin acted in The Good Son.,209
Joan Cusack worked with Wilford Brimley and she is American.,210
The Fall (Gorillaz album) features Mick Jones.,211
Connaught Tunnel is in British Columbia.,212
"WWI was fought from the 28th of July, 1914 to the 11th of November, 1918.",213
Smoking is correlated with the occurrence of leukemia.,214
Thor: The Dark World is a movie from America.,215
Easy Virtue is an adaptation.,216
North Korea has a political party.,217
Whiskey Tango Foxtrot is based on The Taliban Shuffle: Strange Days in Afghanistan and Pakistan.,218
Alex Rodriguez received criticism from the media.,219
Flash Thompson bullies his classmate Peter Parker in the Spider-man comics.,220
Carter Jenkins stars in Famous in Love.,221
Buzz Aldrin is an engineer.,222
Count Basie took his orchestra to Chicago for a long engagement.,223
Paul Mantee has worked with movie director Byron Haskin.,224
Ready Player One won a prize from a nonprofit organization.,225
Horseshoe Falls is also known as something else.,226
Modern liberalism in the United States strongly endorses stuff.,227
Muhammad was raised under the care of his uncle.,228
Stephen Rider is an American actor.,229
Dawn of the Planet of the Apes is a sequel to Rise of the Planet of the Apes.,230
The Celtic F.C. is based out of Glasgow.,231
Alicia Vikander appeared in The Fifth Estate.,232
G-Dragon is an artist.,233
Portal 2 is the sequel to Portal.,234
Seal is an English songwriter.,235
Richard Gere starred in a film that is categorized as musical.,236
Rajesh Khanna earned the most money as an actor from 1970 to 1987.,237
Ji Chang-wook began life in 1987.,238
Born This Way discusses self-empowerment.,239
Gerald Ford was the President of the United States.,240
Charles Marie de La Condamine was a geographer.,241
Keanu Reeves played Johnny Mnemonic in Johnny Mnemonic.,242
The Nashville Songwriters Association International is shortened to NSAI.,243
Poland has more visits each year than all but 15 other countries in the world.,244
True Blood is set in Bon Temps.,245
Zambia is bordered by the Democratic Republic of the Congo.,246
The Fosters is a television show.,247
One city in Benin is Cotonou.,248
Nicki Minaj is Trinidadian-American singer.,249
World War II had campaigns occurring in Asia.,250
Robin appeared in DC comic books.,251
Alpha Centauri is a star system.,252
Lee Min-ho was the lead role in Gangnam Blues.,253
Seal is a songwriter from England.,254
Lucas starred a Canadian actor.,255
"Ice Hockey is popular in Canada, Finland, Latvia, the Czech Republic, Sweden, Slovakia, Belarus and Switzerland.",256
Kalpana Raghavendar is Indian.,257
A book by Larry Buttrose was the basis of Lion.,258
Tim Burton directed Miss Peregrine's Home for Peculiar Children.,259
Wyatt Earp was a saloon-keeper.,260
Sue Sylvester is portrayed by an actress.,261
Las Vegas is a county seat.,262
Doctor Zhivago's protagonist is a physician and poet.,263
Anton Yelchin performed in the late 1990s.,264
The Black Dahlia is a film.,265
Cry Freedom was shot in Kenya and Zimbabwe.,266
Warm Leatherette is by a woman.,267
Scars to Your Beautiful is by a woman.,268
The Incredible Hulk is a movie about superheroes.,269
Tunisia was occupied for one thousand days.,270
Pirates of the Caribbean had multiple directors.,271
Cleopatra represented herself as the reincarnation of a goddess.,272
J. K. Rowling had a child.,273
Julie Christie starred in a movie.,274
My Bloody Valentine 3D was edited by a human.,275
Sabrina Carpenter performs music.,276
The Republic of Zambia is bordered to the east by Malawi.,277
Fear of social situations characterizes social anxiety disorder.,278
Rick and Morty was created by Justin Roiland and Dan Harmon for Adult Swim.,279
Joss Whedon wrote The Avengers.,280
Atomic Blonde is based on The Coldest City.,281
Limbu language is spoken by people.,282
Edward is Colin Quinn's middle name.,283
Lady Gaga wrote songs as an occupation.,284
Minions was written by Brian Lynch and directed by Pierre Coffin and Kyle Balda.,285
Snoop Dogg has starred in motion pictures.,286
Phil Mickelson won the 142nd Open Championship which was played in Scotland.,287
An anti-nuclear antibodies subtype is anti-dsDNA antibodies.,288
Taylor Sheridan is a screenwriter.,289
The Land Before Time's director was Don Bluth.,290
Amy Poehler was a participant of a comedic group.,291
Neil Patrick Harris was in a Broadway musical in 2014.,292
R. Madhavan was in the cast of a movie.,293
Dungeons & Dragons was designed by Gary Gygax and Dave Arneson.,294
The Titanic's wreck is gradually disintegrating in a museum.,295
Romelu Lukaku is an athlete.,296
Star Search was relaunched in 2003-04.,297
Lisa Kudrow appeared on Showtime.,298
The English language is influenced by Germanic languages.,299
Paul Walker was an American man.,300
"The Meyerowitz stories stars Adam Sandler, Ben Stiller, Emma Thompson, and Dustin Hoffman.",301
Transformers: The Last Knight features a performance by an actor.,302
Iran is the 18th-largest city in the world.,303
Snowden is a biographical film.,304
The cell is the basic biological and functional unit of all living organisms.,305
Rose Kennedy was an American born in the 1800s who lived to be over 100 years old.,306
Mary-Louise Parker acted in Angels in America.,307
Quinoa is in the amaranth family.,308
Hungary is bordered by a country.,309
The ninth-largest economy by purchasing power parity is the United Kingdom.,310
Farrah Fawcett acted in Sunburn.,311
The Offspring released Smash after 1990.,312
Following is a neo-noir drama film.,313
Matthew Modine played a character on Stranger Things.,314
Tom Morello developed an interest in politics.,315
The Germanic peoples are also called Teutonic.,316
George Washington served as the first president.,317
Michelle Rodriguez acted in Lost.,318
Wi-Fi Certified is a term restricted by the Wi-Fi Alliance.,319
The Fall (Gorillaz album) features an English artist Paul Simonon.,320
Ray Milland worked with a studio.,321
Jensen Ackles is not known for his roles in television as Jason Teague in Smallville.,322
Leslie Groves was the director of the Manhattan Project.,323
The United Kingdom has the world's ninth-largest economy by one measure.,324
The Eagles are a group.,325
STS-96 launched from a Space Center.,326
Glee was nominated for an award.,327
Tim Allen was featured in Last Man Standing.,328
Robert J. O'Neill is a sailor formerly.,329
Moana is a work.,330
Dwayne Johnson works a part-time contract for WWE.,331
A Golden Globe was given to Jason Bateman.,332
"Tim Robbins was born on October 16, 1958.",333
Major League Soccer playoffs involves 12 teams competing against each other.,334
Unpredictable featured an artist.,335
FC Barcelona has won twenty European and World titles.,336
Sharon Tate married in January 1968.,337
Music includes avant-garde styles and has a long history.,338
Rabat is Morocco's capital city.,339
John McCain is an American citizen.,340
Bentley markets cars.,341
David Beckham played with United.,342
Michael Douglas and James Bridges have worked together.,343
Emily Blunt played a supporting role in The Devil Wears Prada.,344
Judd Apatow produced Talladega Nights: The Ballad of Ricky Bobby.,345
Hunter S. Thompson was a journalist.,346
Jack Black is an American actor that was involved with voice acting for Kung Fu Panda 3.,347
Jamie Foxx's time-point of birth is in the 20th century.,348
A film starring Oliver Reed and Vanessa Redgrave was directed by Ken Russell.,349
Paul Bettany is married to a film actress.,350
Jackie Evancho is someone who has acted in a film during 2013.,351
Samoa Joe is part of WWE.,352
Daniel Craig attended a liberal arts school.,353
The Amazing Spider-Man 2 has favorable music soundtracks.,354
Eugenio Canfari was born in the 19th century.,355
The Bends is a rock album.,356
MS Dhoni is a cricket player.,357
Captain America: The Winter Soldier was influenced by fiction.,358
Indiana Jones has been portrayed by Sean Patrick Flanery.,359
Warren Casey is a composer of Grease.,360
The Night Of's screenwriter is also an American novelist.,361
Suits (TV series) features a female actress.,362
"Tesla, Inc. has a subordinate company that has headquarters in California.",363
Frank Ocean released albums.,364
Nearly 40 million units were sold by Amaze Entertainment.,365
Andorra borders only land.,366
The reigning monarch of the UK lives in Buckingham Palace.,367
Cleopatra represented herself as the reincarnation of a goddess.,368
Jared Kushner is an owner of a newspaper.,369
Mirka Federer was also known as another name.,370
19 Kids and Counting had other names.,371
Tanzania is a place.,372
Byron Haskin was someone Paul Mantee has worked with.,373
Dumb and Dumber stars an award-winning actor.,374
Pompeii is not a UNESCO World Heritage Site.,375
Black Sabbath was formed by 4 people.,376
Rescue Me is a comedy TV series.,377
Chris Hemsworth is an actor.,378
One Direction has won awards.,379
J. J. Cale was born in 1938.,380
Haitian Creole is a linguistic structure spoken by 9.6 to 12 million humans.,381
Thank Me Later is the name of a Drake album.,382
The Void was first shown at the 2016 Fantastic Fest.,383
"Arya Stark is a female, fictional character in the A Song of Ice and Fire series of fantasy novels",384
R. Madhavan was in the cast of Guru.,385
NASA has followed most US space exploration efforts.,386
The alternative history novel The Man in the High Castle won the Hugo Award for best novel.,387
Measles develop almost 2 weeks after exposure to an infected person.,388
Nicki Minaj has been nominated for 10 Grammys.,389
Devdas won awards.,390
Bohemian Rhapsody is a song.,391
Boston Legal stars James Spader as a lawyer.,392
Tim Henman rose up the ATP rankings.,393
Keeping Up with the Joneses had a budget.,394
Troy Baker's indie band released an album.,395
Gerard Lee is from Earth.,396
Equidae is sometimes known by another name.,397
Kurt Sutter is the creator of Sons of Anarchy.,398
Indian was produced by A. M. Rathnam.,399
Nicki Minaj is Trinidadian-American singer.,400
Jake Gyllenhaal is a person.,401
The Dakota is an apartment building in the US.,402
Susan Atkins was a California inmate.,403
Toronto's area is 630.2 square kilometers.,404
The Smurfs began filming in the 2010s.,405
Denzel Washington was in Glory.,406
Jerome is recognized by the Roman Catholic Church.,407
Adam Sandler voice acted in Hotel Transylvania 2.,408
"Estella Warren date of birth is  December 23, 1978.",409
"Mickey Rooney played a supporting role in It's a Mad, Mad, Mad, Mad World (1963).",410
A Few Good Men is a film.,411
Adrianne Palicki turned down a supporting role in John Wick.,412
"Avengers: Age of Ultron premiered in LA on April 13, 2015.",413
Seville is a place that is larger than a town.,414
Mel Brooks has three of his films ranked on the list for the American Film Institute .,415
Captain America is a graphic novel.,416
"Ubisoft, French company, was formerly known as Ubi Soft Entertainment Software.",417
Paul Simon is an actor.,418
Entertainment takes place in Las Vegas.,419
Pablo Picasso was a artist in 1906.,420
Dangerous Liaisons is a film.,421
Farrah Fawcett was in Sunburn.,422
Unleashed features Bob Hoskins.,423
Beyond Westworld was a work.,424
The 1983-84 NBA season ended with the Los Angeles Lakers losing.,425
Joseph Fiennes has worked in tv acting.,426
Before Night Falls is a biographical film.,427
Britney Spears starred in Crossroads.,428
Florence Ballard struggled with alcoholism.,429
The Walt Disney Company owns ESPN.,430
"De Profundis was inscribed to ""Bosie.""",431
Elizabeth Taylor was a person.,432
"Sylvester Stallone was born on July 6, 1946.",433
Anne Frank was a person.,434
Wild has an actor.,435
Snowpiercer is co-written by a New Yorker.,436
Back to the Future Part II is a comedy.,437
Measles complications occur in about 30% of people,438
Emily Ratajkowski is a model.,439
Jean-Claude Van Damme is a Belgian film producer.,440
Winnie Harlow's birth year is 1994.,441
Pablo Fenjves ghostwrote words.,442
Emily Ratajkowski is a model.,443
Tony Bill shared an award with Michael Phillips and Julia Phillips.,444
Kurt Angle is a winner of the WWE Championship.,445
Serbia has a high rank on the Global Peace Index.,446
Enemy (2013 film) stars Sarah Gadon.,447
Transformers: The Last Knight features a performance by an actor.,448
Steve Jobs was a businessman.,449
A capital was where the Caracazo took place.,450
Justin Bieber's fourth album came out in 2015.,451
Joey Graceffa is American.,452
Leroy Jethro Gibbs is a fictional character on NCIS.,453
Minecraft is a work.,454
Emily Browning is in The Host.,455
Stephen Hawking suffers from motor neurone disease,456
FX television channel premiered Damages (TV series).,457
Floyd Mayweather Jr. is a person.,458
Alpha House is inspired by a politician.,459
"The number of residents of New Orleans is 343,829.",460
Carice van Houten is a person.,461
Francis Ford Coppola is an American.,462
Portal 2 is the sequel to Portal.,463
Machu Picchu is a 15th-century Inca citadel.,464
Connie Britton played a role in a horror anthology television series.,465
Farrah Fawcett took an Emmy Award nomination for her role as a battered wife in the 1984 film The Burning Bed.,466
"For five years, Jennifer Aniston was in a marriage with Brad Pitt.",467
Jim Carrey is a person.,468
Edgar Award honors the best in non-fiction.,469
Gustave Eiffel focused on meteorology research.,470
Kirk Douglas is an acting professional in the film industry.,471
Psychological horror is a subgenre of horror and psychological fiction.,472
Frederick Trump was born in a state.,473
Sofia Coppola acted in a drama film based on a novel.,474
"The second season of the American television show Sonny with a Chance premiered on March 14th, 2010.",475
Miami Blues featured Jennifer Jason Leigh.,476
Glacier can be found in Hawaii.,477
"Jane Fonda acted in They Shoot Horses, Don't They.",478
Soundgarden signed to a major label.,479
The Beach Boys had over eighty worldwide chart songs.,480
The Punisher is also named Frank Castle.,481
Fred Trump engaged in philanthropy.,482
Lahore is the place where one can find the Shalimar Gardens.,483
Steve Buscemi is in at least one movie.,484
Whiskey Tango Foxtrot is a comedy film.,485
"The Jacksons ended on March 9, 1977.",486
Avatar: The Last Airbender is a television series that is animated.,487
"Kolyma has rich reserves of gold, silver, tin, tungsten, mercury, copper, antimony, coal, oil, and peat.",488
Kris Wu is a Chinese-born Canadian.,489
Trevor Noah is the host of The Daily Show.,490
Tropic Thunder was written by a person.,491
The Chelsea F.C. is English.,492
Abu Bakr al-Baghdadi was accused of a crime.,493
Alicia Vikander was a performer.,494
Batman: The Killing Joke was illustrated by Brian Bolland.,495
Tupac Shakur birth name was Lesane Parish Crooks.,496
Splash starred a Canadian actor.,497
"Eugenio Canfari's birthday was April 16, 1877.",498
The Permanent Court of Arbitration is hosted in the Netherlands.,499
Emma Roberts was born in 1991.,500
Wladimir Klitschko has fought in 29 heavyweight title fights.,501
Didier Drogba is ranked fourth all-time top scorer.,502
Kurt Sutter played motorcycle club leader Otto Delaney.,503
Boston had the first subway system in the United States.,504
Ready Player One is a science fiction novel.,505
The Legend of Tarzan (film) is based on a fictional person created by Edgar Rice Burroughs.,506
Neil Young writes and sings his own music.,507
James Mangold has yet to direct a superhero film.,508
New Orleans straddles the Mississippi River.,509
Christopher Marlowe is a writer of poetry.,510
Lonesome Dove was the winner of two Golden Globe Awards.,511
The cell is a basic unit of biology.,512
Helen Gardner was an educator.,513
Beautiful People finished airing.,514
Mitt Romney was a CEO in the management consulting industry.,515
Grace Jones and Sarah Douglas acted alongside each other.,516
Amsterdam was the home of diarist Anne Frank.,517
Diana Ross was honored in 2007.,518
Hayden Panettiere played Claire Bennet on Heroes.,519
Cloud Atlas is modeled from a fictional work by David Mitchell.,520
Emily Ratajkowski sang in an ad for an upscale automobile brand during the Super Bowl.,521
"Charles, Prince of Wales is patron of numerous other charitable and arts ribbons.",522
The Make Trade Fair Campaign was supported by Coldplay.,523
Muhammad is a significant to the Islamic faith.,524
The cast of Good Will Hunting included Ben Affleck.,525
Mithun Chakraborty was in a popular Hindi-language film called Disco Dancer.,526
Android was the target of copyright litigation.,527
Abraham Lincoln promoted rapid modernization of the economy.,528
Lucas starred an actor.,529
The Mummy is a reboot of an earlier film.,530
The seven-year itch was the previous name of scabies.,531
About one per 1000 babies born each year are affected by Down syndrome.,532
Beautiful People had series.,533
One Direction made music.,534
Human Rights is included in International Relations.,535
Muhammad Ali was ranked Sports Personality of the Century by ABC.,536
René Descartes has argued for the Existence of God.,537
Jim Carrey played the character Colonel Stars and Stripes.,538
Tunisia was occupied for one thousand days.,539
Julia Louis-Dreyfus has won a Primetime Emmy Award.,540
"The United States Environmental Protection Agency began operation on December 2, 1970.",541
"Views had the single ""Hotline Bling.""",542
The Boot Monument is located in Saratoga National Historical Park in New York.,543
Donkey can be characterized as a fast talker.,544
Gwen Stefani performs with four Japanese and Japanese American dancers.,545
Dubai is a place.,546
Suits (TV series) features a female actress.,547
50 First Dates' director was Peter Segal.,548
Saswata Chatterjee is an actor.,549
Live Your Life is by T.I.,550
A Nightmare on Elm Street is a film directed by Wes Craven.,551
Lady Gaga is known for her provocative projects.,552
FC Barcelona has won twenty European and World titles.,553
Giada De Laurentiis has co-hosted a show.,554
The Beach Boys was a rock band from America.,555
Black Mirror is a British television show.,556
Pitch Perfect and Pitch Perfect 2 were films that Adam DeVine was involved with.,557
Eminem is an artist.,558
50 First Dates' director was Peter Segal.,559
The most populous landlocked country in the world is Ethiopia.,560
Kmart has stores in operation in a group of islands in the Caribbean that are an insular area of the United States.,561
Mickey Rooney was the first teenager to be nominated for an Oscar.,562
A mole is used as a breakwater.,563
Paleogene starts from the end of the Cretaceous Period million years ago (Mya).,564
A major film studio is Fox.,565
Tamera Mowry portrayed a character.,566
Estella Warren is a former swimmer.,567
The Hobbit was written by a person.,568
Norovirus is a common cause of viral gastroenteritis.,569
Miley Cyrus starred in at least one movie.,570
The Caracazo had victims.,571
Jack Reacher is a film.,572
The Hobbit is a three film series.,573
Usain Bolt was in the 2008 Olympics.,574
Mirka Federer was also known as another name.,575
Battle Studies World Tour was a worldwide tour.,576
Christopher Marlowe is an English poet.,577
Avril Lavigne is the singer and songwriter of My Happy Ending.,578
Liev Schreiber made appearances in many independent films.,579
Dhool starred an Indian actress born in the nineteen eighties.,580
Ruth Negga is a film actress.,581
Minecraft is a game.,582
Vladimir Putin was born in the southern district of Leningrad.,583
Frank Sinatra was popular.,584
Stanley Tucci is North American.,585
Lion was a biographical film.,586
FC Barcelona's leader was Joan Gamper.,587
Franklin D. Roosevelt implemented a war strategy.,588
Braveheart won five awards.,589
Psychology is included in International Relations.,590
Andrew Jackson was a Supreme Court justice.,591
The animated film The Incredibles won two Academy Awards among others.,592
Radioactive was nominated for Best Rock Performance.,593
Sweden borders Norway to the west.,594
Azerbaijan is part of the Muslim world.,595
Ford Motor Company is not as large as another automaker.,596
Tyrese Gibson is well known for his role as Robert Epps in the Transformers film series.,597
Ariana Grande's albums have been certified platinum.,598
Evan Rachel Wood is a musician from the United States.,599
Amitabh Bachchan has won awards.,600
Constantine has plot elements taken from a comic book story arc.,601
Conan O'Brien hosts a late-night talk show in the United States.,602
Genghis Khan's children had sons.,603
South Park is made with animation.,604
Anderson Cooper is a person who does journalism.,605
Feels So Good was released as a single from the album Hot.,606
The United States Congress meets in the Capitol.,607
The Ten Commandments relate to ethics and worship through biblical law.,608
Bob Dylan has been admitted into the Songwriters Hall of Fame.,609
Gia is a film that dramatizes the life of Gia Marie Carangi.,610
Kangana Ranaut trained under a theatre director.,611
Mickey Rooney was the first teenager to be nominated for an Oscar.,612
Robert J. O'Neill is a sailor formerly.,613
Cambodia had a coup by the Khmer Rouge in 1970.,614
Roman Reigns is a  United States Champion.,615
My Summer of Love is a 2004 British drama film.,616
Mike Judge is a person.,617
Morgan Freeman appeared in Bruce Almighty.,618
Fifty Shades of Grey sold over 125 million copies by marketing directly at middle-aged housewives.,619
Jerome is recognized by the Roman Catholic Church.,620
Las Vegas is a county seat.,621
Idris Elba was in a movie.,622
American Horror Story is a television series.,623
The Incredible Hulk is movie number two in a series.,624
John Lennon was one of the Beatles's co-founders.,625
Michael Jackson had albums that became world-wide best-sellers.,626
Alexandra Burke is British.,627
"Wentworth's filming took place in Clayton, Victoria.",628
Confessions was sold somewhere.,629
The Great Gatsby is about Jay Gatsby and Daisy Buchanan.,630
The most populous landlocked country in the world is Ethiopia.,631
David Angell produced sitcoms.,632
